Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Thiago Carvalho,Esportes,881.39,3457.57,0.23,0.34,2017-01-04
Mateus Barbosa,Eletrônicos,4770.13,1932.95,0.23,0.18,2017-01-04
Camila Carvalho,Casa,3833.3,5202.41,0.39,0.23,2017-01-04
Diego Cardoso,Vestuário,2148.58,1647.04,0.07,0.2,2017-01-04
Jorge Santos,Brinquedo,3540.41,1785.87,0.32,0.26,2017-01-04
Raphael Silva,Papelaria,481.9,205.8,0.22,0.52,2017-01-04
Caroline Reis,Papelaria,996.24,527.35,0.63,0.47,2017-01-04
Letícia Nascimento,Eletrônicos,1079.65,1658.81,0.15,0.23,2017-01-05
Ana Sousa,Eletrônicos,5278.87,4298.53,0.3,0.18,2017-01-05
Gustavo Martins,Eletrônicos,1736.95,1570.06,0.26,0.23,2017-01-05
Beatriz Santos,Vestuário,2065.0,2575.78,0.1,0.2,2017-01-05
Camila Lima,Vestuário,4291.98,3535.76,0.24,0.2,2017-01-05
Thiago Barbosa,Acessórios,93.54,1283.88,0.4,0.58,2017-01-05
Letícia Ribeiro,Acessórios,1772.83,1436.88,0.68,0.46,2017-01-05
Enzo Nascimento,Casa,6092.55,1854.01,0.4,0.32,2017-01-05
Guilherme Santos,Casa,1821.6,4829.66,0.26,0.25,2017-01-05
Vitória Ribeiro,Brinquedo,4394.87,1682.79,0.11,0.22,2017-01-05
Julia Araújo,Esportes,2434.39,4670.98,0.51,0.3,2017-01-05
Lucas Rodrigues,Esportes,4633.2,2858.75,0.51,0.33,2017-01-05
Thiago Carvalho,Esportes,6723.44,1749.84,0.51,0.29,2017-01-05
Mateus Barbosa,Eletrônicos,6357.23,2155.68,0.1,0.19,2017-01-05
Camila Carvalho,Casa,5647.8,2717.44,0.31,0.28,2017-01-05
Diego Cardoso,Vestuário,1962.05,2456.78,0.13,0.19,2017-01-05
Jorge Santos,Brinquedo,109.13,3776.73,0.26,0.27,2017-01-05
Raphael Silva,Papelaria,821.31,602.38,0.38,0.38,2017-01-05
Caroline Reis,Papelaria,737.38,398.12,0.34,0.5,2017-01-05
Letícia Nascimento,Eletrônicos,4784.0,2281.16,0.15,0.19,2017-01-06
Ana Sousa,Eletrônicos,2727.55,2264.36,0.11,0.19,2017-01-06
Gustavo Martins,Eletrônicos,6213.55,3638.34,0.3,0.21,2017-01-06
Beatriz Santos,Vestuário,1552.62,2379.43,0.07,0.16,2017-01-06
Camila Lima,Vestuário,2179.26,2465.95,0.21,0.17,2017-01-06
Thiago Barbosa,Acessórios,995.06,656.44,0.48,0.58,2017-01-06
Letícia Ribeiro,Acessórios,1759.41,603.63,0.26,0.5,2017-01-06
Enzo Nascimento,Casa,4925.03,2807.78,0.39,0.31,2017-01-06
Guilherme Santos,Casa,5226.34,2343.49,0.18,0.22,2017-01-06
Vitória Ribeiro,Brinquedo,1422.15,2425.41,0.35,0.21,2017-01-06
Julia Araújo,Esportes,3039.37,3756.09,0.21,0.35,2017-01-06
Lucas Rodrigues,Esportes,3600.53,2251.54,0.39,0.26,2017-01-06
Thiago Carvalho,Esportes,5401.77,4303.18,0.17,0.31,2017-01-06
Mateus Barbosa,Eletrônicos,1259.75,4648.68,0.21,0.17,2017-01-06
Camila Carvalho,Casa,2023.94,4963.01,0.26,0.31,2017-01-06
Diego Cardoso,Vestuário,3334.43,3567.31,0.2,0.21,2017-01-06
Jorge Santos,Brinquedo,4913.7,2837.96,0.32,0.25,2017-01-06
Raphael Silva,Papelaria,917.01,528.72,0.67,0.49,2017-01-06
Caroline Reis,Papelaria,532.65,355.51,0.31,0.47,2017-01-06
Letícia Nascimento,Eletrônicos,5082.47,3076.68,0.23,0.18,2017-01-07
Ana Sousa,Eletrônicos,622.09,2228.62,0.14,0.18,2017-01-07
Gustavo Martins,Eletrônicos,3620.18,1698.14,0.14,0.22,2017-01-07
Beatriz Santos,Vestuário,3523.19,1073.42,0.15,0.17,2017-01-07
Camila Lima,Vestuário,2110.66,1458.45,0.16,0.2,2017-01-07
Thiago Barbosa,Acessórios,1301.61,1234.63,0.72,0.56,2017-01-07
Letícia Ribeiro,Acessórios,861.62,407.08,0.42,0.56,2017-01-07
Enzo Nascimento,Casa,6592.07,5404.41,0.25,0.3,2017-01-07
Guilherme Santos,Casa,4268.75,3933.66,0.19,0.24,2017-01-07
Vitória Ribeiro,Brinquedo,2453.51,1087.07,0.2,0.27,2017-01-07
Julia Araújo,Esportes,2968.3,1943.67,0.31,0.27,2017-01-07
Lucas Rodrigues,Esportes,4498.25,1405.17,0.29,0.34,2017-01-07
Thiago Carvalho,Esportes,320.25,3806.72,0.18,0.33,2017-01-07
Mateus Barbosa,Eletrônicos,445.85,2564.77,0.13,0.18,2017-01-07
Camila Carvalho,Casa,5894.9,2992.33,0.36,0.31,2017-01-07
Diego Cardoso,Vestuário,1316.04,1121.15,0.08,0.17,2017-01-07
Jorge Santos,Brinquedo,5499.5,2049.88,0.3,0.28,2017-01-07
Raphael Silva,Papelaria,723.9,652.54,0.68,0.4,2017-01-07
Caroline Reis,Papelaria,42.01,291.43,0.25,0.49,2017-01-07
Letícia Nascimento,Eletrônicos,3774.53,1984.67,0.25,0.22,2017-01-08
Ana Sousa,Eletrônicos,1207.27,3386.09,0.26,0.17,2017-01-08
Gustavo Martins,Eletrônicos,5429.08,4672.99,0.1,0.16,2017-01-08
Beatriz Santos,Vestuário,1606.11,2728.84,0.27,0.17,2017-01-08
Camila Lima,Vestuário,3564.97,1105.19,0.22,0.18,2017-01-08
Thiago Barbosa,Acessórios,260.11,1326.98,0.72,0.52,2017-01-08
Letícia Ribeiro,Acessórios,301.48,1580.61,0.66,0.46,2017-01-08
Enzo Nascimento,Casa,3378.54,2956.39,0.28,0.25,2017-01-08
Guilherme Santos,Casa,6562.79,4853.79,0.14,0.33,2017-01-08
Vitória Ribeiro,Brinquedo,3532.16,3486.12,0.31,0.24,2017-01-08
Julia Araújo,Esportes,5281.24,5065.35,0.23,0.36,2017-01-08
Lucas Rodrigues,Esportes,3907.97,3185.64,0.3,0.35,2017-01-08
Thiago Carvalho,Esportes,2014.14,4621.68,0.45,0.27,2017-01-08
Mateus Barbosa,Eletrônicos,5832.97,2077.91,0.19,0.21,2017-01-08
Camila Carvalho,Casa,3005.16,1520.54,0.4,0.24,2017-01-08
Diego Cardoso,Vestuário,1120.9,3054.15,0.14,0.2,2017-01-08
Jorge Santos,Brinquedo,3886.39,1828.81,0.1,0.29,2017-01-08
Raphael Silva,Papelaria,112.46,632.04,0.45,0.5,2017-01-08
Caroline Reis,Papelaria,765.86,587.54,0.45,0.5,2017-01-08
Letícia Nascimento,Eletrônicos,722.99,1997.75,0.25,0.18,2017-01-09
Ana Sousa,Eletrônicos,3888.48,2903.74,0.21,0.19,2017-01-09
Gustavo Martins,Eletrônicos,4953.66,2390.84,0.25,0.18,2017-01-09
Beatriz Santos,Vestuário,1311.82,1225.77,0.11,0.15,2017-01-09
Camila Lima,Vestuário,2694.3,2957.91,0.11,0.15,2017-01-09
Thiago Barbosa,Acessórios,1085.87,1269.5,0.78,0.5,2017-01-09
Letícia Ribeiro,Acessórios,651.28,520.63,0.32,0.44,2017-01-09
Enzo Nascimento,Casa,1496.57,1459.43,0.29,0.25,2017-01-09
Guilherme Santos,Casa,7505.67,3724.11,0.34,0.23,2017-01-09
Vitória Ribeiro,Brinquedo,4789.69,2472.64,0.36,0.26,2017-01-09
Julia Araújo,Esportes,3425.16,3017.83,0.21,0.27,2017-01-09
Lucas Rodrigues,Esportes,6736.26,3163.15,0.45,0.31,2017-01-09
Thiago Carvalho,Esportes,650.05,3754.84,0.16,0.27,2017-01-09
Mateus Barbosa,Eletrônicos,3767.2,2293.81,0.32,0.17,2017-01-09
Camila Carvalho,Casa,5919.19,3946.53,0.37,0.24,2017-01-09
Diego Cardoso,Vestuário,2629.7,2116.39,0.16,0.2,2017-01-09
Jorge Santos,Brinquedo,5446.17,1916.14,0.29,0.26,2017-01-09
Raphael Silva,Papelaria,819.3,768.55,0.29,0.4,2017-01-09
Caroline Reis,Papelaria,733.26,294.23,0.27,0.38,2017-01-09
Letícia Nascimento,Eletrônicos,137.34,2821.81,0.22,0.18,2017-01-10
Ana Sousa,Eletrônicos,1619.96,3745.04,0.25,0.2,2017-01-10
Gustavo Martins,Eletrônicos,4574.26,4526.08,0.27,0.21,2017-01-10
Beatriz Santos,Vestuário,3303.35,3420.91,0.16,0.17,2017-01-10
Camila Lima,Vestuário,3237.51,3352.71,0.24,0.15,2017-01-10
Thiago Barbosa,Acessórios,398.39,769.14,0.64,0.52,2017-01-10
Letícia Ribeiro,Acessórios,663.4,549.22,0.62,0.54,2017-01-10
Enzo Nascimento,Casa,7266.63,3501.99,0.28,0.23,2017-01-10
Guilherme Santos,Casa,441.35,3214.53,0.22,0.25,2017-01-10
Vitória Ribeiro,Brinquedo,593.17,3885.73,0.35,0.26,2017-01-10
Julia Araújo,Esportes,6804.53,5198.34,0.39,0.3,2017-01-10
Lucas Rodrigues,Esportes,412.43,4249.45,0.31,0.35,2017-01-10
Thiago Carvalho,Esportes,6560.83,2007.81,0.36,0.34,2017-01-10
Mateus Barbosa,Eletrônicos,3306.38,1528.48,0.16,0.18,2017-01-10
Camila Carvalho,Casa,5206.21,5002.48,0.22,0.3,2017-01-10
Diego Cardoso,Vestuário,1490.74,3452.02,0.24,0.18,2017-01-10
Jorge Santos,Brinquedo,2556.06,1943.55,0.2,0.3,2017-01-10
Raphael Silva,Papelaria,456.51,508.76,0.72,0.49,2017-01-10
Caroline Reis,Papelaria,606.0,447.95,0.29,0.43,2017-01-10
Letícia Nascimento,Eletrônicos,5021.75,3451.48,0.26,0.18,2017-01-11
Ana Sousa,Eletrônicos,3678.95,4539.62,0.18,0.22,2017-01-11
Gustavo Martins,Eletrônicos,906.84,4703.33,0.22,0.18,2017-01-11
Beatriz Santos,Vestuário,859.72,2387.27,0.19,0.15,2017-01-11
Camila Lima,Vestuário,4912.37,3364.91,0.17,0.15,2017-01-11
Thiago Barbosa,Acessórios,1837.43,998.05,0.62,0.5,2017-01-11
Letícia Ribeiro,Acessórios,630.6,1401.67,0.78,0.44,2017-01-11
Enzo Nascimento,Casa,4307.56,3011.06,0.42,0.28,2017-01-11
Guilherme Santos,Casa,6787.7,5028.91,0.2,0.31,2017-01-11
Vitória Ribeiro,Brinquedo,2340.69,3802.75,0.25,0.28,2017-01-11
Julia Araújo,Esportes,2115.53,2464.37,0.36,0.39,2017-01-11
Lucas Rodrigues,Esportes,3567.28,1879.53,0.34,0.3,2017-01-11
Thiago Carvalho,Esportes,4004.45,3419.38,0.31,0.3,2017-01-11
Mateus Barbosa,Eletrônicos,1342.46,3711.0,0.22,0.18,2017-01-11
Camila Carvalho,Casa,6003.12,1583.32,0.35,0.3,2017-01-11
Diego Cardoso,Vestuário,4033.45,1942.42,0.21,0.2,2017-01-11
Jorge Santos,Brinquedo,5396.42,2485.99,0.11,0.25,2017-01-11
Raphael Silva,Papelaria,657.39,721.82,0.65,0.43,2017-01-11
Caroline Reis,Papelaria,588.03,474.16,0.58,0.43,2017-01-11
Letícia Nascimento,Eletrônicos,4362.98,1755.7,0.19,0.24,2017-01-12
Ana Sousa,Eletrônicos,2313.88,3693.73,0.23,0.23,2017-01-12
Gustavo Martins,Eletrônicos,5643.17,4293.64,0.17,0.18,2017-01-12
Beatriz Santos,Vestuário,3582.96,2950.39,0.25,0.14,2017-01-12
Camila Lima,Vestuário,422.52,2604.13,0.27,0.21,2017-01-12
Thiago Barbosa,Acessórios,1653.02,920.76,0.26,0.52,2017-01-12
Letícia Ribeiro,Acessórios,1924.77,932.42,0.62,0.58,2017-01-12
Enzo Nascimento,Casa,487.69,4743.8,0.21,0.26,2017-01-12
Guilherme Santos,Casa,1240.51,3630.9,0.3,0.31,2017-01-12
Vitória Ribeiro,Brinquedo,1017.91,1236.91,0.36,0.26,2017-01-12
Julia Araújo,Esportes,1820.62,4860.04,0.18,0.33,2017-01-12
Lucas Rodrigues,Esportes,1912.92,2295.77,0.13,0.36,2017-01-12
Thiago Carvalho,Esportes,6456.49,3942.68,0.2,0.31,2017-01-12
Mateus Barbosa,Eletrônicos,2359.26,3315.26,0.23,0.19,2017-01-12
Camila Carvalho,Casa,2030.74,4950.27,0.18,0.26,2017-01-12
Diego Cardoso,Vestuário,2438.39,1540.46,0.19,0.18,2017-01-12
Jorge Santos,Brinquedo,5460.54,1885.69,0.39,0.27,2017-01-12
Raphael Silva,Papelaria,316.44,539.56,0.56,0.49,2017-01-12
Caroline Reis,Papelaria,72.97,563.84,0.45,0.52,2017-01-12
Letícia Nascimento,Eletrônicos,1974.54,4075.9,0.22,0.19,2017-01-13
Ana Sousa,Eletrônicos,4245.29,3435.2,0.24,0.22,2017-01-13
Gustavo Martins,Eletrônicos,4391.5,4218.01,0.23,0.23,2017-01-13
Beatriz Santos,Vestuário,3231.22,1734.12,0.16,0.18,2017-01-13
Camila Lima,Vestuário,3649.27,1143.36,0.13,0.19,2017-01-13
Thiago Barbosa,Acessórios,419.38,558.59,0.52,0.6,2017-01-13
Letícia Ribeiro,Acessórios,1186.64,1496.18,0.7,0.46,2017-01-13
Enzo Nascimento,Casa,6374.65,3423.76,0.37,0.3,2017-01-13
Guilherme Santos,Casa,2700.68,1883.71,0.43,0.23,2017-01-13
Vitória Ribeiro,Brinquedo,5319.1,3580.42,0.32,0.3,2017-01-13
Julia Araújo,Esportes,6920.24,4437.89,0.27,0.36,2017-01-13
Lucas Rodrigues,Esportes,227.71,3392.64,0.31,0.35,2017-01-13
Thiago Carvalho,Esportes,4849.83,3579.78,0.45,0.38,2017-01-13
Mateus Barbosa,Eletrônicos,822.08,2041.76,0.09,0.23,2017-01-13
Camila Carvalho,Casa,4384.24,5244.08,0.19,0.23,2017-01-13
Diego Cardoso,Vestuário,4093.94,3355.34,0.13,0.17,2017-01-13
Jorge Santos,Brinquedo,854.8,3838.78,0.19,0.25,2017-01-13
Raphael Silva,Papelaria,124.97,732.36,0.25,0.45,2017-01-13
Caroline Reis,Papelaria,744.13,645.88,0.68,0.43,2017-01-13
Letícia Nascimento,Eletrônicos,4929.9,1756.28,0.18,0.17,2017-01-14
Ana Sousa,Eletrônicos,3290.96,2669.22,0.31,0.16,2017-01-14
Gustavo Martins,Eletrônicos,2521.03,2796.18,0.31,0.23,2017-01-14
Beatriz Santos,Vestuário,572.86,2751.34,0.18,0.21,2017-01-14
Camila Lima,Vestuário,1833.16,1974.98,0.11,0.15,2017-01-14
Thiago Barbosa,Acessórios,1871.75,945.66,0.6,0.52,2017-01-14
Letícia Ribeiro,Acessórios,1329.84,425.63,0.68,0.44,2017-01-14
Enzo Nascimento,Casa,1091.99,3771.22,0.13,0.31,2017-01-14
Guilherme Santos,Casa,1706.11,2306.99,0.4,0.25,2017-01-14
Vitória Ribeiro,Brinquedo,896.79,3701.59,0.1,0.29,2017-01-14
Julia Araújo,Esportes,1145.72,1806.97,0.23,0.29,2017-01-14
Lucas Rodrigues,Esportes,4770.62,1400.54,0.13,0.36,2017-01-14
Thiago Carvalho,Esportes,1800.28,2562.7,0.2,0.27,2017-01-14
Mateus Barbosa,Eletrônicos,4926.34,3093.91,0.26,0.2,2017-01-14
Camila Carvalho,Casa,6021.81,3555.59,0.14,0.28,2017-01-14
Diego Cardoso,Vestuário,4684.72,1017.09,0.23,0.2,2017-01-14
Jorge Santos,Brinquedo,2915.84,2374.13,0.39,0.21,2017-01-14
Raphael Silva,Papelaria,537.3,440.97,0.56,0.45,2017-01-14
Caroline Reis,Papelaria,1002.48,244.09,0.22,0.47,2017-01-14
Letícia Nascimento,Eletrônicos,545.62,2190.06,0.23,0.2,2017-01-15
Ana Sousa,Eletrônicos,2227.2,4780.66,0.21,0.2,2017-01-15
Gustavo Martins,Eletrônicos,4043.16,1557.05,0.25,0.23,2017-01-15
Beatriz Santos,Vestuário,3253.45,2976.2,0.22,0.15,2017-01-15
Camila Lima,Vestuário,2284.56,1516.93,0.14,0.17,2017-01-15
Thiago Barbosa,Acessórios,938.54,514.1,0.46,0.54,2017-01-15
Letícia Ribeiro,Acessórios,848.49,583.17,0.76,0.42,2017-01-15
Enzo Nascimento,Casa,6428.2,1791.57,0.14,0.3,2017-01-15
Guilherme Santos,Casa,6276.97,3736.75,0.31,0.29,2017-01-15
Vitória Ribeiro,Brinquedo,1880.09,1366.69,0.21,0.27,2017-01-15
Julia Araújo,Esportes,5396.99,4685.56,0.42,0.39,2017-01-15
Lucas Rodrigues,Esportes,4344.87,2671.42,0.35,0.29,2017-01-15
Thiago Carvalho,Esportes,4740.29,2174.55,0.17,0.36,2017-01-15
Mateus Barbosa,Eletrônicos,2501.8,3945.38,0.22,0.22,2017-01-15
Camila Carvalho,Casa,6529.38,5493.1,0.39,0.29,2017-01-15
Diego Cardoso,Vestuário,3213.52,970.88,0.27,0.2,2017-01-15
Jorge Santos,Brinquedo,1544.22,1541.25,0.31,0.23,2017-01-15
Raphael Silva,Papelaria,387.01,203.66,0.65,0.47,2017-01-15
Caroline Reis,Papelaria,452.85,285.12,0.52,0.36,2017-01-15
Letícia Nascimento,Eletrônicos,4954.8,1974.48,0.18,0.18,2017-01-16
Ana Sousa,Eletrônicos,2517.95,3797.75,0.26,0.21,2017-01-16
Gustavo Martins,Eletrônicos,670.52,1389.4,0.12,0.21,2017-01-16
Beatriz Santos,Vestuário,3365.49,1634.68,0.21,0.17,2017-01-16
Camila Lima,Vestuário,2238.34,1637.55,0.23,0.15,2017-01-16
Thiago Barbosa,Acessórios,968.61,739.9,0.6,0.5,2017-01-16
Letícia Ribeiro,Acessórios,1481.01,454.5,0.44,0.52,2017-01-16
Enzo Nascimento,Casa,198.11,2665.96,0.18,0.23,2017-01-16
Guilherme Santos,Casa,2071.73,2778.12,0.11,0.3,2017-01-16
Vitória Ribeiro,Brinquedo,1048.75,2140.62,0.31,0.25,2017-01-16
Julia Araújo,Esportes,5980.14,4444.18,0.16,0.38,2017-01-16
Lucas Rodrigues,Esportes,426.96,1373.09,0.49,0.38,2017-01-16
Thiago Carvalho,Esportes,4171.83,3536.26,0.4,0.31,2017-01-16
Mateus Barbosa,Eletrônicos,866.33,1275.08,0.16,0.22,2017-01-16
Camila Carvalho,Casa,4813.03,4894.51,0.42,0.23,2017-01-16
Diego Cardoso,Vestuário,4194.2,1556.96,0.2,0.17,2017-01-16
Jorge Santos,Brinquedo,2237.14,1930.82,0.2,0.23,2017-01-16
Raphael Silva,Papelaria,201.58,506.29,0.23,0.45,2017-01-16
Caroline Reis,Papelaria,998.4,409.63,0.58,0.5,2017-01-16
Letícia Nascimento,Eletrônicos,5401.44,2050.57,0.11,0.18,2017-01-17
Ana Sousa,Eletrônicos,4023.54,3936.78,0.24,0.18,2017-01-17
Gustavo Martins,Eletrônicos,5128.06,2978.82,0.26,0.22,2017-01-17
Beatriz Santos,Vestuário,2271.68,3395.21,0.19,0.18,2017-01-17
Camila Lima,Vestuário,3125.18,3233.47,0.2,0.15,2017-01-17
Thiago Barbosa,Acessórios,187.5,930.65,0.38,0.46,2017-01-17
Letícia Ribeiro,Acessórios,161.33,1008.8,0.38,0.5,2017-01-17
Enzo Nascimento,Casa,570.09,4893.13,0.13,0.32,2017-01-17
Guilherme Santos,Casa,6606.01,3983.04,0.28,0.28,2017-01-17
Vitória Ribeiro,Brinquedo,3093.31,3375.45,0.37,0.24,2017-01-17
Julia Araújo,Esportes,5814.91,3842.16,0.26,0.33,2017-01-17
Lucas Rodrigues,Esportes,1189.05,1541.31,0.17,0.38,2017-01-17
Thiago Carvalho,Esportes,2540.93,4085.84,0.33,0.29,2017-01-17
Mateus Barbosa,Eletrônicos,1725.38,2775.92,0.18,0.2,2017-01-17
Camila Carvalho,Casa,1340.12,2965.98,0.2,0.26,2017-01-17
Diego Cardoso,Vestuário,1734.46,2514.29,0.24,0.18,2017-01-17
Jorge Santos,Brinquedo,455.92,1283.52,0.3,0.23,2017-01-17
Raphael Silva,Papelaria,801.63,593.94,0.67,0.52,2017-01-17
Caroline Reis,Papelaria,380.03,549.64,0.25,0.41,2017-01-17
Letícia Nascimento,Eletrônicos,6390.67,3714.53,0.18,0.21,2017-01-18
Ana Sousa,Eletrônicos,6198.25,2314.5,0.17,0.22,2017-01-18
Gustavo Martins,Eletrônicos,5389.44,3612.42,0.28,0.22,2017-01-18
Beatriz Santos,Vestuário,3421.12,2321.26,0.2,0.17,2017-01-18
Camila Lima,Vestuário,1848.48,1879.01,0.1,0.15,2017-01-18
Thiago Barbosa,Acessórios,2086.96,983.52,0.34,0.42,2017-01-18
Letícia Ribeiro,Acessórios,206.68,1413.32,0.26,0.56,2017-01-18
Enzo Nascimento,Casa,6453.51,5111.47,0.12,0.25,2017-01-18
Guilherme Santos,Casa,5933.28,1950.41,0.23,0.24,2017-01-18
Vitória Ribeiro,Brinquedo,4589.26,3313.29,0.34,0.22,2017-01-18
Julia Araújo,Esportes,3202.47,2902.35,0.39,0.29,2017-01-18
Lucas Rodrigues,Esportes,3248.27,2411.21,0.42,0.31,2017-01-18
Thiago Carvalho,Esportes,3878.76,2506.92,0.44,0.33,2017-01-18
Mateus Barbosa,Eletrônicos,5531.53,2524.22,0.3,0.24,2017-01-18
Camila Carvalho,Casa,3630.3,2583.45,0.23,0.28,2017-01-18
Diego Cardoso,Vestuário,4786.07,3105.6,0.24,0.15,2017-01-18
Jorge Santos,Brinquedo,1450.02,2923.54,0.36,0.26,2017-01-18
Raphael Silva,Papelaria,130.8,707.54,0.65,0.41,2017-01-18
Caroline Reis,Papelaria,844.17,363.67,0.67,0.38,2017-01-18
Letícia Nascimento,Eletrônicos,2954.82,4607.09,0.14,0.2,2017-01-19
Ana Sousa,Eletrônicos,2385.31,1296.01,0.1,0.2,2017-01-19
Gustavo Martins,Eletrônicos,1647.84,4780.3,0.17,0.16,2017-01-19
Beatriz Santos,Vestuário,4613.81,3165.78,0.2,0.2,2017-01-19
Camila Lima,Vestuário,758.74,1674.58,0.24,0.19,2017-01-19
Thiago Barbosa,Acessórios,339.79,1246.64,0.46,0.4,2017-01-19
